,0
0,0.3593184728778172
1,0.3593184728778172
2,0.3593184728778172
3,0.3593184728778172
4,0.3593184728778172
5,0.3593184728778172
6,0.3593184728778172
7,0.3593184728778172
8,0.3593184728778172
9,0.3593184728778172
10,0.3593184728778172
11,0.3593184728778172
12,0.3593184728778172
13,0.3593184728778172
14,0.3593184728778172
15,0.3593184728778172
16,0.3593184728778172
17,0.3593184728778172
18,0.3593184728778172
19,0.0005264602319936835
20,0.0005264602319936835
21,0.0005264602319936835
22,0.0005264602319936835
23,0.0005264602319936835
24,0.0005264602319936835
25,0.0005264602319936835
26,0.0005264602319936835
27,0.0005264602319936835
28,0.0005264602319936835
29,0.0005264602319936835
30,0.0005264602319936835
31,0.0005264602319936835
32,0.0005264602319936835
33,0.0005264602319936835
34,0.0005264602319936835
35,0.0005264602319936835
36,0.0005264602319936835
37,0.0005264602319936835
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.992135374814443
58,0.992135374814443
59,0.992135374814443
60,0.992135374814443
61,0.992135374814443
62,0.992135374814443
63,0.992135374814443
64,0.992135374814443
65,0.992135374814443
66,0.992135374814443
67,0.992135374814443
68,0.992135374814443
69,0.992135374814443
70,0.992135374814443
71,0.992135374814443
72,0.992135374814443
73,0.992135374814443
74,0.992135374814443
75,0.992135374814443
76,0.992135374814443
77,0.992135374814443
78,0.992135374814443
79,0.992135374814443
80,0.992135374814443
81,0.992135374814443
82,0.992135374814443
83,0.992135374814443
84,0.992135374814443
85,0.992135374814443
86,0.992135374814443
87,0.992135374814443
88,0.992135374814443
89,0.992135374814443
90,0.992135374814443
91,0.992135374814443
92,0.992135374814443
93,0.992135374814443
94,0.992135374814443
95,0.9943670952378072
96,0.9943670952378072
97,0.9943670952378072
98,0.9943670952378072
99,0.9943670952378072
100,0.9943670952378072
101,0.9943670952378072
102,0.9943670952378072
103,0.9943670952378072
104,0.9943670952378072
105,0.9943670952378072
106,0.9943670952378072
107,0.9943670952378072
108,0.9943670952378072
109,0.9943670952378072
110,0.9943670952378072
111,0.9943670952378072
112,0.9943670952378072
113,0.9943670952378072
114,1.0
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,1.0
123,1.0
124,1.0
125,1.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,1.0
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,1.0
148,1.0
149,1.0
150,1.0
151,1.0
152,1.0
153,1.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,1.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,1.0
184,1.0
185,1.0
186,1.0
187,1.0
188,1.0
189,1.0
190,1.0
191,1.0
192,1.0
193,1.0
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,1.0
205,1.0
206,1.0
207,1.0
208,1.0
209,1.0
210,1.0
211,1.0
212,1.0
213,1.0
214,1.0
215,1.0
216,1.0
217,1.0
218,1.0
219,1.0
220,1.0
221,1.0
222,1.0
223,1.0
224,1.0
225,1.0
226,1.0
227,1.0
228,1.0
229,1.0
230,1.0
231,1.0
232,1.0
233,1.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,1.0
260,1.0
261,1.0
262,1.0
263,1.0
264,1.0
265,1.0
266,1.0
267,1.0
268,1.0
269,1.0
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,1.0
278,1.0
279,1.0
280,1.0
281,1.0
282,1.0
283,1.0
284,1.0
285,1.0
286,1.0
287,1.0
288,1.0
289,1.0
290,1.0
291,1.0
292,1.0
293,1.0
294,1.0
295,1.0
296,1.0
297,1.0
298,1.0
299,1.0
300,1.0
301,1.0
302,1.0
303,1.0
304,1.0
305,1.0
306,1.0
307,1.0
308,1.0
309,1.0
310,1.0
311,1.0
312,1.0
313,1.0
314,1.0
315,1.0
316,1.0
317,1.0
318,1.0
319,1.0
320,1.0
321,1.0
322,1.0
323,1.0
324,1.0
325,1.0
326,1.0
327,1.0
328,1.0
329,1.0
330,1.0
331,1.0
332,1.0
333,1.0
334,1.0
335,1.0
336,1.0
337,1.0
338,1.0
339,1.0
340,1.0
341,1.0
342,1.0
343,1.0
344,1.0
345,1.0
346,1.0
347,1.0
348,1.0
349,1.0
350,1.0
351,1.0
352,1.0
353,1.0
354,1.0
355,1.0
356,1.0
357,1.0
358,1.0
359,1.0
360,1.0
